PERIODO;PROGRAMA;GRUPO_REFERENCIA;PUNTAJE_GLOBAL;PERCENTIL_NACIONALGLOBAL;PERCENTIL_GRUPOREFGLOBAL;PUNTAJE_PRUEBA.CCiudadanas;PERCENTIL_NACIONALPRUEBA.CCiudadanas;PERCENTIL_GRUPOREFPRUEBA.CCiudadanas;PUNTAJE_PRUEBA.LectCritica;PERCENTIL_NACIONALPRUEBA.LectCritica;PERCENTIL_GRUPOREFPRUEBA.LectCritica;PUNTAJE_PRUEBA.RazCuanti;PERCENTIL_NACIONALPRUEBA.RazCuanti;PERCENTIL_GRUPOREFPRUEBA.RazCuanti
20162;NEGOCIOS INTERNACIONALES;ADMINISTRACIÓN Y AFINES;170;81;87;134;31;34;193;93;97;146;46;51
20162;ADMINISTRACION DE EMPRESAS;ADMINISTRACIÓN Y AFINES;181;91;95;183;86;91;178;82;89;145;45;51
20162;INGENIERIA MECANICA;INGENIERÍA;178;89;84;166;68;65;184;87;84;182;85;68
20162;ADMINISTRACION DE EMPRESAS;ADMINISTRACIÓN Y AFINES;198;99;100;213;100;100;197;94;98;176;80;86
20162;NEGOCIOS INTERNACIONALES;ADMINISTRACIÓN Y AFINES;172;83;89;174;78;84;152;53;61;153;55;62
20162;PSICOLOGIA;PSICOLOGÍA;165;75;80;167;70;69;166;69;68;142;42;55
20162;INGENIERIA ELECTRONICA;INGENIERÍA;192;97;95;201;97;96;169;73;68;176;81;60
20162;MEDICINA;MEDICINA;186;94;79;173;76;54;192;92;78;159;62;34
20162;RELACIONES INTERNACIONALES;CIENCIAS SOCIALES;154;58;52;122;20;14;196;94;88;104;7;10
20162;PSICOLOGIA;PSICOLOGÍA;201;99;100;187;90;90;206;98;98;187;88;96
20162;INGENIERIA ELECTRONICA;INGENIERÍA;185;93;90;191;92;91;165;68;63;170;74;52
20162;MEDICINA;MEDICINA;204;100;97;187;90;74;196;94;83;205;97;91
20162;INGENIERIA INDUSTRIAL;INGENIERÍA;183;92;88;168;72;68;171;75;71;182;85;67
20162;INGENIERIA MECANICA;INGENIERÍA;173;84;77;188;90;89;131;28;22;161;64;40
20162;COMUNICACION SOCIAL Y PERIODISMO;COMUNICACIÓN, PERIODISMO Y PUBLICIDAD;152;56;44;164;67;59;107;9;4;131;28;32
20162;INGENIERIA INDUSTRIAL;INGENIERÍA;208;100;100;178;82;80;208;98;98;222;100;98
20162;INGENIERIA CIVIL;INGENIERÍA;191;96;94;155;55;51;191;91;90;212;99;95
20162;INGENIERIA INDUSTRIAL;INGENIERÍA;213;100;100;121;19;18;209;98;98;222;100;98
20162;INGENIERIA DE SISTEMAS Y COMPUTACION;INGENIERÍA;190;96;94;189;91;89;172;77;72;181;84;66
20162;INGENIERIA MECANICA;INGENIERÍA;201;99;99;199;96;95;200;96;95;189;90;76
20162;INGENIERIA CIVIL;INGENIERÍA;192;97;95;182;85;83;185;88;85;184;86;70
20162;INGENIERIA CIVIL;INGENIERÍA;191;96;94;201;97;96;170;74;70;191;91;78
20162;INGENIERIA ELECTRICA;INGENIERÍA;185;94;90;171;75;71;176;80;77;190;90;77
20162;RELACIONES INTERNACIONALES;CIENCIAS SOCIALES;147;47;42;143;40;30;152;52;42;99;4;7
20162;ADMINISTRACION DE EMPRESAS;ADMINISTRACIÓN Y AFINES;142;39;45;117;16;17;122;19;22;119;17;19
20162;COMUNICACION SOCIAL Y PERIODISMO;COMUNICACIÓN, PERIODISMO Y PUBLICIDAD;169;80;74;152;51;41;190;91;86;132;30;34
20162;COMUNICACION SOCIAL Y PERIODISMO;COMUNICACIÓN, PERIODISMO Y PUBLICIDAD;170;81;75;172;75;68;154;55;40;160;64;71
20162;ADMINISTRACION DE EMPRESAS;ADMINISTRACIÓN Y AFINES;156;62;70;154;54;60;134;32;37;143;43;48
20162;COMUNICACION SOCIAL Y PERIODISMO;COMUNICACIÓN, PERIODISMO Y PUBLICIDAD;154;59;48;147;45;35;144;43;28;146;47;53
20162;RELACIONES INTERNACIONALES;CIENCIAS SOCIALES;181;91;84;190;91;83;164;67;56;148;49;59
20162;DERECHO;DERECHO;189;96;95;190;91;84;194;93;90;175;79;85
20162;ADMINISTRACION DE EMPRESAS;ADMINISTRACIÓN Y AFINES;190;96;98;168;71;78;181;85;91;189;90;94
20162;NEGOCIOS INTERNACIONALES;ADMINISTRACIÓN Y AFINES;183;92;96;186;89;93;162;64;73;181;84;90
20162;ADMINISTRACION DE EMPRESAS;ADMINISTRACIÓN Y AFINES;180;90;94;162;63;70;192;92;96;165;69;76
20162;NEGOCIOS INTERNACIONALES;ADMINISTRACIÓN Y AFINES;181;91;95;145;43;48;218;100;100;149;50;56
20162;DERECHO;DERECHO;185;93;92;177;80;69;197;95;92;184;87;92
20162;NEGOCIOS INTERNACIONALES;ADMINISTRACIÓN Y AFINES;170;80;87;156;56;63;176;81;88;135;33;37
20162;ADMINISTRACION DE EMPRESAS;ADMINISTRACIÓN Y AFINES;184;93;96;167;70;77;162;65;74;183;86;91
20162;INGENIERIA ELECTRONICA;INGENIERÍA;202;99;99;184;87;85;210;99;98;191;91;79
20162;INGENIERIA MECANICA;INGENIERÍA;208;100;100;186;89;87;215;99;99;217;99;97
20162;DERECHO;DERECHO;200;99;98;217;100;99;197;95;92;178;82;88
20162;NEGOCIOS INTERNACIONALES;ADMINISTRACIÓN Y AFINES;213;100;100;206;98;99;225;100;100;202;96;98
20162;RELACIONES INTERNACIONALES;CIENCIAS SOCIALES;195;98;95;173;77;65;199;95;90;201;96;98
20162;RELACIONES INTERNACIONALES;CIENCIAS SOCIALES;186;94;89;203;98;94;188;90;81;148;49;59
20162;RELACIONES INTERNACIONALES;CIENCIAS SOCIALES;184;93;87;168;70;58;181;85;74;168;72;80
20162;RELACIONES INTERNACIONALES;CIENCIAS SOCIALES;167;77;68;186;89;80;130;26;22;145;45;55
20162;RELACIONES INTERNACIONALES;CIENCIAS SOCIALES;201;99;97;226;100;100;197;94;88;173;77;84
20162;ARQUITECTURA;ARQUITECTURA Y URBANISMO;198;98;98;195;94;95;197;95;93;182;85;81
20162;ARQUITECTURA;ARQUITECTURA Y URBANISMO;167;78;71;146;44;41;178;82;76;141;41;27
20162;NEGOCIOS INTERNACIONALES;ADMINISTRACIÓN Y AFINES;198;98;100;185;88;93;205;97;99;188;89;94
20162;RELACIONES INTERNACIONALES;CIENCIAS SOCIALES;187;95;90;196;95;89;187;89;79;164;68;76
20162;MEDICINA;MEDICINA;184;93;76;185;88;71;190;91;75;197;94;83
20162;NEGOCIOS INTERNACIONALES;ADMINISTRACIÓN Y AFINES;175;86;91;166;68;75;186;89;94;158;61;68
20162;RELACIONES INTERNACIONALES;CIENCIAS SOCIALES;184;93;87;177;81;70;185;88;78;157;60;69
20163;MEDICINA;MEDICINA;152;55;26;132;29;14;149;49;23;155;58;29
20163;ECONOMIA;ECONOMIA;168;79;47;165;68;44;201;96;88;186;88;65
20163;INGENIERIA INDUSTRIAL;INGENIERÍA;182;91;87;166;68;65;185;88;86;193;92;80
20163;INGENIERIA MECANICA;INGENIERÍA;162;71;60;127;24;22;133;30;24;191;91;78
20163;DERECHO;DERECHO;176;87;84;180;84;73;176;81;74;199;95;98
20163;INGENIERIA INDUSTRIAL;INGENIERÍA;155;60;48;112;12;11;142;41;34;216;99;97
20163;ADMINISTRACION DE EMPRESAS;ADMINISTRACIÓN Y AFINES;168;79;85;183;87;91;157;59;67;150;52;58
20163;ENFERMERIA;ENFERMERÍA;206;100;100;208;99;100;192;92;95;191;91;96
20163;ENFERMERIA;ENFERMERÍA;156;62;71;133;30;33;146;45;49;154;57;64
20163;ADMINISTRACION DE EMPRESAS;ADMINISTRACIÓN Y AFINES;186;94;97;184;87;91;182;86;92;186;88;93
20163;ADMINISTRACION DE EMPRESAS;ADMINISTRACIÓN Y AFINES;173;84;90;184;87;92;170;74;82;162;66;73
20163;DERECHO;DERECHO;176;87;85;196;95;90;192;92;89;167;71;78
20163;INGENIERIA ELECTRONICA;INGENIERÍA;194;97;96;192;93;92;208;98;98;229;100;100
20163;MEDICINA;MEDICINA;201;99;95;177;81;60;212;99;95;223;100;99
20163;DERECHO;DERECHO;141;37;31;138;35;22;139;37;30;132;30;36
20163;NEGOCIOS INTERNACIONALES;ADMINISTRACIÓN Y AFINES;121;10;11;99;5;6;116;14;17;104;6;6
20163;INGENIERIA INDUSTRIAL;INGENIERÍA;186;94;91;170;73;70;172;76;72;181;84;66
20163;ADMINISTRACION DE EMPRESAS;ADMINISTRACIÓN Y AFINES;122;11;13;109;11;12;96;4;5;119;17;18
20163;NEGOCIOS INTERNACIONALES;ADMINISTRACIÓN Y AFINES;176;86;92;165;67;74;154;56;64;195;93;96
20163;INGENIERIA CIVIL;INGENIERÍA;201;99;98;216;100;100;186;88;86;204;97;90
20163;INGENIERIA DE SISTEMAS Y COMPUTACION;INGENIERÍA;182;92;87;151;50;47;179;83;79;200;95;87
20163;INGENIERIA CIVIL;INGENIERÍA;196;98;97;176;80;77;190;91;90;211;98;94
20163;INGENIERIA ELECTRONICA;INGENIERÍA;194;97;96;175;78;75;197;95;94;191;91;78
20163;ADMINISTRACION DE EMPRESAS;ADMINISTRACIÓN Y AFINES;150;53;61;119;17;19;113;12;15;140;39;44
20163;INGENIERIA DE SISTEMAS Y COMPUTACION;INGENIERÍA;189;96;93;167;70;67;231;100;100;206;97;91
20163;ADMINISTRACION DE EMPRESAS;ADMINISTRACIÓN Y AFINES;163;72;79;161;62;68;170;74;82;135;33;37
20163;ADMINISTRACION DE EMPRESAS;ADMINISTRACIÓN Y AFINES;172;83;89;153;52;58;166;70;78;158;62;69
20163;INGENIERIA CIVIL;INGENIERÍA;165;75;66;151;49;46;181;84;82;184;87;70
20163;INGENIERIA CIVIL;INGENIERÍA;205;100;99;197;95;95;193;93;91;212;98;95
20163;NEGOCIOS INTERNACIONALES;ADMINISTRACIÓN Y AFINES;190;96;98;193;93;96;187;89;94;190;90;94
20163;NEGOCIOS INTERNACIONALES;ADMINISTRACIÓN Y AFINES;161;70;77;144;41;46;159;61;70;149;50;56
20163;INGENIERIA CIVIL;INGENIERÍA;196;98;97;187;89;88;201;96;95;196;93;83
20163;INGENIERIA INDUSTRIAL;INGENIERÍA;204;100;99;197;95;95;207;98;97;221;100;98
20163;INGENIERIA CIVIL;INGENIERÍA;199;99;98;171;74;71;198;95;94;199;95;86
20163;INGENIERIA CIVIL;INGENIERÍA;185;93;90;171;74;71;153;53;47;221;100;98
20163;INGENIERIA INDUSTRIAL;INGENIERÍA;167;78;69;129;26;23;139;37;30;195;93;82
20163;INGENIERIA INDUSTRIAL;INGENIERÍA;173;84;78;167;69;66;178;82;78;199;95;87
20163;INGENIERIA INDUSTRIAL;INGENIERÍA;171;82;74;180;84;82;176;80;77;172;76;54
20163;INGENIERIA INDUSTRIAL;INGENIERÍA;176;87;81;172;75;72;194;93;92;130;28;11
20163;INGENIERIA MECANICA;INGENIERÍA;186;94;91;182;86;83;166;69;64;197;94;85
20163;INGENIERIA CIVIL;INGENIERÍA;168;79;71;153;52;48;151;51;44;177;81;62
20163;INGENIERIA INDUSTRIAL;INGENIERÍA;200;99;98;178;82;79;226;100;100;209;98;93
20163;INGENIERIA INDUSTRIAL;INGENIERÍA;180;90;85;158;58;54;199;96;95;206;97;92
20163;INGENIERIA INDUSTRIAL;INGENIERÍA;182;91;87;175;79;75;183;86;83;164;69;45
20163;ARQUITECTURA;ARQUITECTURA Y URBANISMO;172;83;78;169;72;70;181;85;79;189;90;88
20163;INGENIERIA INDUSTRIAL;INGENIERÍA;198;99;98;192;93;92;212;99;99;197;94;85
20163;INGENIERIA INDUSTRIAL;INGENIERÍA;170;81;73;132;29;26;184;87;84;175;79;58
20163;LICENCIATURA EN PEDAGOGIA  INFANTIL;EDUCACIÓN;143;41;56;130;27;38;84;2;2;130;28;46
20163;INGENIERIA ELECTRONICA;INGENIERÍA;195;98;96;195;94;93;200;96;95;198;94;85
20163;LICENCIATURA EN PEDAGOGIA  INFANTIL;EDUCACIÓN;158;65;77;139;36;48;162;65;73;134;32;52
20163;INGENIERIA INDUSTRIAL;INGENIERÍA;162;70;60;153;52;48;165;68;63;161;64;40
20163;ARQUITECTURA;ARQUITECTURA Y URBANISMO;176;87;83;169;72;70;178;82;76;165;69;58
20163;ARQUITECTURA;ARQUITECTURA Y URBANISMO;149;51;40;113;13;12;147;46;38;184;87;82
20163;LICENCIATURA EN PEDAGOGIA  INFANTIL;EDUCACIÓN;197;98;100;207;98;99;182;85;90;185;87;96
20163;MEDICINA;MEDICINA;158;65;35;177;81;61;177;82;59;177;81;57
20163;INGENIERIA ELECTRONICA;INGENIERÍA;168;79;71;180;84;81;171;76;71;199;95;86
20163;INGENIERIA INDUSTRIAL;INGENIERÍA;152;56;43;144;42;38;161;63;57;155;58;34
20163;MEDICINA;MEDICINA;196;98;92;195;94;85;206;98;92;196;93;82
20163;DERECHO;DERECHO;172;83;80;181;85;74;189;90;86;119;18;22
20163;LICENCIATURA EN PEDAGOGIA  INFANTIL;EDUCACIÓN;189;95;98;172;76;83;197;95;97;196;94;99
20163;INGENIERIA INDUSTRIAL;INGENIERÍA;173;84;77;146;44;41;181;85;82;200;95;87
20163;INGENIERIA INDUSTRIAL;INGENIERÍA;182;92;87;195;94;94;195;94;92;165;69;46
20163;INGENIERIA CIVIL;INGENIERÍA;208;100;100;208;99;98;192;92;91;197;94;85
20163;INGENIERIA DE SISTEMAS Y COMPUTACION;INGENIERÍA;137;30;21;136;33;30;114;13;10;159;63;39
20163;NEGOCIOS INTERNACIONALES;ADMINISTRACIÓN Y AFINES;169;80;87;159;60;66;164;67;76;174;78;84
20163;LICENCIATURA EN PEDAGOGIA  INFANTIL;EDUCACIÓN;167;77;86;159;60;70;151;52;62;166;70;87
20163;INGENIERIA ELECTRONICA;INGENIERÍA;158;65;54;159;59;56;102;6;5;179;82;64
20163;INGENIERIA INDUSTRIAL;INGENIERÍA;198;99;98;190;91;90;201;96;96;207;97;92
20163;INGENIERIA INDUSTRIAL;INGENIERÍA;203;99;99;211;99;99;201;96;96;189;89;75
20163;LICENCIATURA EN PEDAGOGIA  INFANTIL;EDUCACIÓN;188;95;98;178;82;89;204;97;98;152;53;74
20163;INGENIERIA INDUSTRIAL;INGENIERÍA;169;80;72;142;39;36;144;43;36;169;73;51
20163;INGENIERIA INDUSTRIAL;INGENIERÍA;192;97;95;167;70;66;210;99;98;209;98;93
20163;INGENIERIA INDUSTRIAL;INGENIERÍA;168;78;69;166;68;65;200;96;95;212;99;95
20163;LICENCIATURA EN PEDAGOGIA  INFANTIL;EDUCACIÓN;164;73;83;161;63;73;196;94;96;87;1;2
20163;LICENCIATURA EN PEDAGOGIA  INFANTIL;EDUCACIÓN;151;54;67;155;54;66;131;27;37;120;18;33
20163;INGENIERIA INDUSTRIAL;INGENIERÍA;158;66;54;142;40;36;132;29;23;158;62;37
20163;LICENCIATURA EN PEDAGOGIA  INFANTIL;EDUCACIÓN;161;70;80;193;93;96;164;67;75;140;40;60
20163;LICENCIATURA EN PEDAGOGIA  INFANTIL;EDUCACIÓN;178;89;94;181;85;91;171;75;81;163;67;84
20163;LICENCIATURA EN PEDAGOGIA  INFANTIL;EDUCACIÓN;167;78;86;168;71;80;188;90;93;141;41;61
20163;LICENCIATURA EN PEDAGOGIA  INFANTIL;EDUCACIÓN;146;47;61;157;57;68;156;58;67;143;43;64
20163;INGENIERIA INDUSTRIAL;INGENIERÍA;155;61;49;125;22;20;166;70;65;173;78;56
20163;PSICOLOGIA;PSICOLOGÍA;157;63;67;167;70;68;177;81;81;113;12;17
20163;LICENCIATURA EN PEDAGOGIA  INFANTIL;EDUCACIÓN;164;73;83;150;49;61;179;83;88;143;42;63
20163;INGENIERIA ELECTRONICA;INGENIERÍA;206;100;99;178;82;79;214;99;99;225;100;99
20163;INGENIERIA CIVIL;INGENIERÍA;165;75;66;171;75;72;146;45;38;186;88;72
20163;INGENIERIA ELECTRICA;INGENIERÍA;191;97;95;179;83;80;187;89;87;162;66;42
20163;INGENIERIA INDUSTRIAL;INGENIERÍA;182;91;87;174;78;74;193;93;91;196;94;84
20163;DISEÑO GRAFICO;BELLAS ARTES Y DISEÑO;175;86;78;142;39;34;177;81;72;181;84;84
20163;INGENIERIA INDUSTRIAL;INGENIERÍA;215;100;100;217;100;100;213;99;99;213;99;95
20163;INGENIERIA CIVIL;INGENIERÍA;191;96;94;213;99;99;185;88;85;181;84;66
20163;INGENIERIA ELECTRONICA;INGENIERÍA;193;97;95;218;100;100;177;81;77;218;99;97
20163;INGENIERIA INDUSTRIAL;INGENIERÍA;175;86;79;152;52;48;160;63;57;213;99;95
20163;LICENCIATURA EN PEDAGOGIA  INFANTIL;EDUCACIÓN;167;78;86;181;85;90;141;39;49;122;20;35
20163;INGENIERIA INDUSTRIAL;INGENIERÍA;158;66;54;162;64;60;95;4;3;192;92;80
20163;INGENIERIA MECANICA;INGENIERÍA;186;94;91;194;94;93;164;68;62;198;94;85
20163;ADMINISTRACION DE EMPRESAS;ADMINISTRACIÓN Y AFINES;187;95;97;197;95;98;197;95;98;191;91;95
20163;INGENIERIA INDUSTRIAL;INGENIERÍA;163;72;62;159;59;56;97;4;3;178;82;63
20163;INGENIERIA INDUSTRIAL;INGENIERÍA;190;96;94;205;98;98;206;98;97;195;93;83
20163;MEDICINA;MEDICINA;197;98;92;188;90;75;203;97;89;204;97;90
20163;INGENIERIA INDUSTRIAL;INGENIERÍA;156;62;51;155;55;51;124;21;16;164;68;44
20163;LICENCIATURA EN PEDAGOGIA  INFANTIL;EDUCACIÓN;166;76;85;178;81;88;193;93;95;174;78;92
20163;LICENCIATURA EN PEDAGOGIA  INFANTIL;EDUCACIÓN;162;71;81;184;87;92;159;62;70;169;74;89
20163;MEDICINA;MEDICINA;189;96;84;182;85;67;196;94;83;215;99;97
20163;INGENIERIA ELECTRICA;INGENIERÍA;186;94;91;189;91;89;184;87;84;197;94;84
20163;INGENIERIA ELECTRICA;INGENIERÍA;139;34;23;107;10;9;155;56;50;133;31;13
20163;INGENIERIA CIVIL;INGENIERÍA;187;95;92;188;90;89;192;92;91;179;83;64
20163;DERECHO;DERECHO;174;85;83;179;83;72;179;83;77;139;38;45
20163;INGENIERIA DE SISTEMAS Y COMPUTACION;INGENIERÍA;193;97;95;187;90;88;197;95;94;208;98;93
20163;MEDICINA;MEDICINA;160;68;38;124;22;10;158;60;32;189;89;73
20163;MEDICINA;MEDICINA;186;94;79;187;89;74;190;91;75;192;91;77
20163;INGENIERIA INDUSTRIAL;INGENIERÍA;185;94;90;176;80;77;189;90;89;207;97;92
20163;INGENIERIA ELECTRICA;INGENIERÍA;164;73;63;159;60;56;156;57;51;159;63;38
20163;INGENIERIA INDUSTRIAL;INGENIERÍA;142;39;28;147;45;42;96;4;3;129;27;11
20163;INGENIERIA INDUSTRIAL;INGENIERÍA;194;98;96;181;85;83;199;95;94;229;100;100
20163;INGENIERIA MECANICA;INGENIERÍA;185;94;90;195;94;93;203;97;96;201;96;88
20163;MEDICINA;MEDICINA;177;88;66;171;75;52;181;84;63;164;68;40
20163;INGENIERIA INDUSTRIAL;INGENIERÍA;190;96;94;194;94;93;190;91;89;192;91;79
20163;INGENIERIA DE SISTEMAS Y COMPUTACION;INGENIERÍA;224;100;100;193;93;92;197;95;94;212;98;95
20163;INGENIERIA INDUSTRIAL;INGENIERÍA;168;78;70;170;73;70;124;21;17;199;95;86
20163;INGENIERIA ELECTRONICA;INGENIERÍA;177;88;82;146;44;40;175;79;75;219;99;97
20163;LICENCIATURA EN PEDAGOGIA  INFANTIL;EDUCACIÓN;178;89;94;208;99;100;179;83;88;195;93;99
20163;MEDICINA;MEDICINA;168;78;49;176;80;59;163;66;38;156;59;30
20163;INGENIERIA MECANICA;INGENIERÍA;200;99;98;194;94;93;198;95;94;192;92;80
20163;MEDICINA;MEDICINA;170;80;53;154;53;30;163;66;38;165;69;41
20163;INGENIERIA ELECTRICA;INGENIERÍA;144;42;30;87;2;2;74;1;1;194;92;81
20163;INGENIERIA ELECTRICA;INGENIERÍA;202;99;99;209;99;99;226;100;100;201;95;88
20163;MEDICINA;MEDICINA;185;93;78;183;87;69;193;93;79;189;89;74
20163;ADMINISTRACION DE EMPRESAS;ADMINISTRACIÓN Y AFINES;183;92;96;167;70;77;202;96;99;183;85;91
20163;INGENIERIA ELECTRICA;INGENIERÍA;173;84;78;175;79;76;170;74;69;166;70;47
20163;MEDICINA;MEDICINA;188;95;82;174;78;56;152;52;25;173;78;53
20163;MEDICINA;MEDICINA;182;91;73;184;88;70;197;94;83;176;80;56
20163;PSICOLOGIA;PSICOLOGÍA;189;96;97;180;84;85;207;98;98;154;57;72
20163;INGENIERIA INDUSTRIAL;INGENIERÍA;200;99;98;199;96;96;216;99;99;206;97;92
20163;INGENIERIA ELECTRICA;INGENIERÍA;185;93;90;184;87;85;175;79;75;211;98;95
20163;INGENIERIA INDUSTRIAL;INGENIERÍA;192;97;95;176;80;77;217;100;100;190;90;77
20163;INGENIERIA INDUSTRIAL;INGENIERÍA;177;88;82;182;86;84;147;47;40;187;89;74
20163;MEDICINA;MEDICINA;195;98;90;207;98;95;211;99;95;197;94;83
20163;MEDICINA;MEDICINA;169;80;51;157;57;33;156;58;30;164;68;40
20163;INGENIERIA INDUSTRIAL;INGENIERÍA;178;89;83;163;64;60;167;70;65;206;97;91
20163;MEDICINA;MEDICINA;185;93;78;164;66;42;171;75;49;178;81;58
20163;MEDICINA;MEDICINA;159;66;36;156;56;32;171;75;49;143;43;17
20163;INGENIERIA INDUSTRIAL;INGENIERÍA;173;84;77;177;81;78;152;53;46;167;71;48
20163;PSICOLOGIA;PSICOLOGÍA;127;17;16;135;32;27;111;11;9;111;11;15
20163;CONTADURIA PUBLICA;CONTADURÍA Y AFINES;165;74;88;175;79;87;138;35;45;156;58;64
20163;MEDICINA;MEDICINA;177;88;65;178;82;62;200;96;86;199;95;86
20163;PSICOLOGIA;PSICOLOGÍA;231;100;100;212;99;100;222;100;100;205;97;100
20163;MEDICINA;MEDICINA;185;94;78;205;98;94;199;96;86;173;77;52
20163;MEDICINA;MEDICINA;187;95;81;190;92;78;184;87;67;198;94;85
20163;PSICOLOGIA;PSICOLOGÍA;192;97;98;209;99;99;209;98;99;131;28;38
20163;INGENIERIA ELECTRICA;INGENIERÍA;185;93;90;185;88;86;146;45;39;228;100;99
20163;PSICOLOGIA;PSICOLOGÍA;212;100;100;192;93;94;215;99;99;182;85;95
20163;MEDICINA;MEDICINA;194;98;90;177;81;60;203;97;89;179;83;61
20163;MEDICINA;MEDICINA;169;80;52;164;66;42;160;62;34;183;86;66
20163;MEDICINA;MEDICINA;198;99;93;213;100;98;214;99;96;192;91;77
20163;DERECHO;DERECHO;157;63;59;196;95;90;118;16;12;138;37;44
20163;DERECHO;DERECHO;167;78;75;152;51;36;172;77;70;153;55;62
20163;PSICOLOGIA;PSICOLOGÍA;204;100;100;194;94;95;220;100;100;204;97;100
20163;NEGOCIOS INTERNACIONALES;ADMINISTRACIÓN Y AFINES;175;86;91;168;70;77;179;83;90;152;54;60
20163;DERECHO;DERECHO;178;89;87;190;92;85;180;84;78;142;42;49
20163;INGENIERIA ELECTRICA;INGENIERÍA;183;92;88;153;52;49;175;80;76;175;79;59
20163;PSICOLOGIA;PSICOLOGÍA;169;80;85;178;81;82;171;76;75;138;37;49
20163;DERECHO;DERECHO;168;78;75;161;62;47;180;84;78;147;47;54
